filename,height,width,mean,std,min,max,pct_lt_220,pct_lt_240,pct_lt_260,timestamp,processed_at
3RIMG_24JAN2026_1115_L2B_OLR_V01R00.h5,2816,2805,-194.3648681640625,600.7543334960938,-999.0,358.82818603515625,50.63658392075838,56.07845669259439,63.58833151029006,13709475.0,2026-02-15T03:21:56.008202
3RIMG_24JAN2026_1145_L2B_OLR_V01R00.h5,2816,2805,-194.8734588623047,600.4611206054688,-999.0,357.7745666503906,50.87516204829039,56.35293864446606,63.96570146653703,13709505.0,2026-02-15T03:21:56.189235
3RIMG_24JAN2026_1215_L2B_OLR_V01R00.h5,2816,2805,-195.36912536621094,600.1793212890625,-999.0,358.0570983886719,51.05161744449846,56.55724609058499,64.32565123156701,13709535.0,2026-02-15T03:21:56.375892
3RIMG_24JAN2026_1245_L2B_OLR_V01R00.h5,2816,2805,-195.63861083984375,599.9193725585938,-999.0,357.3238830566406,51.19766346621293,56.76323731972127,64.66129375303841,13709565.0,2026-02-15T03:21:56.557495
3RIMG_24JAN2026_1315_L2B_OLR_V01R00.h5,2816,2805,-195.87913513183594,599.6259155273438,-999.0,353.9737548828125,51.36097775887214,56.92557679063361,64.91708951142441,13709595.0,2026-02-15T03:21:56.746041
3RIMG_24JAN2026_1345_L2B_OLR_V01R00.h5,2816,2805,-196.48709106445312,599.3736572265625,-999.0,350.2286682128906,51.55375192432344,57.177574542213584,65.28788891589694,13709625.0,2026-02-15T03:21:56.932082
3RIMG_24JAN2026_1415_L2B_OLR_V01R00.h5,2816,2805,-196.7947998046875,598.8921508789062,-999.0,347.193603515625,51.744728366553225,57.41407642602495,65.68942685545292,13709655.0,2026-02-15T03:21:57.120479
3RIMG_24JAN2026_1445_L2B_OLR_V01R00.h5,2816,2805,-197.46054077148438,598.3575439453125,-999.0,343.67730712890625,52.006297095284395,57.78230584589208,66.25012660022686,13709685.0,2026-02-15T03:21:57.308919
3RIMG_24JAN2026_1515_L2B_OLR_V01R00.h5,2816,2805,-197.89456176757812,597.9021606445312,-999.0,338.9306335449219,52.200666423594235,58.073511687732946,66.69322739426349,13709715.0,2026-02-15T03:21:57.494109
3RIMG_24JAN2026_1545_L2B_OLR_V01R00.h5,2816,2805,-198.47018432617188,597.5179443359375,-999.0,332.9189758300781,52.39926419948144,58.34984200291687,67.09874058094312,13709745.0,2026-02-15T03:21:57.680765
3RIMG_24JAN2026_1615_L2B_OLR_V01R00.h5,2816,2805,-199.2862091064453,597.0452270507812,-999.0,325.7874450683594,52.65589551936477,58.715830598768434,67.62442270296548,13709775.0,2026-02-15T03:21:57.866941
